cntrycode,bscr_entity,region,sum_pml,sum_net,count_policies,is_geocoded
AE,33,ALL,13444442.071932495,10874902.2548474,5,0
AR,33,ALL,1280103.491328087,1280103.491328087,2,0
AT,33,ALL,721312.7143443596,440490.4210029798,4,0
AU,33,ALL,25890584.562796935,20120637.850301262,9,0
BE,33,ALL,15747994.657685466,8286041.567590246,5,0
BM,33,ALL,4196482.934460506,4196482.934460506,3,0
BR,33,ALL,96654148.17925969,62620844.42920324,4,0
BS,33,ALL,3238733.284195006,1653587.9751500457,4,0
BW,33,ALL,819000.0,819000.0,1,0
CA,33,ALL,18301343.574820016,16479715.692330807,4,0
CH,33,ALL,567471554.1259507,316798265.652394,37,0
CI,33,ALL,2841840.0,1420920.0,1,0
CL,33,ALL,13778406.45959011,13778406.45959011,11,0
CN,33,ALL,65415404.641072765,46728236.2248406,16,0
CO,33,ALL,11968513.260463474,10758732.728265334,8,0
CY,33,ALL,9480466.5,9480466.5,3,0
CZ,33,ALL,17156131.435104,17156131.435104,1,0
DE,33,ALL,5733618.086427593,5522417.433213796,4,0
DO,33,ALL,538678.710570256,538678.710570256,1,0
EE,33,ALL,56000.0,56000.0,1,0
ES,33,ALL,159239457.1495552,89793522.3747776,6,0
FR,33,ALL,269694076.2154452,128815325.5824513,21,0
GB,33,ALL,152000.0,152000.0,1,0
GI,33,ALL,2714095.0,2714095.0,1,0
GR,33,ALL,121154640.90999785,95061619.36495052,22,0
GT,33,ALL,5197163.089095807,5197163.089095807,4,0
HK,33,ALL,69928150.64870977,50023445.72733458,20,0
ID,33,ALL,0.0,0.0,1,0
IE,33,ALL,59424635.864,42828507.564,11,0
IL,33,ALL,77873629.50602305,49272739.651747815,19,0
IN,33,ALL,15613768.340378208,7862072.316069758,2,0
IT,33,ALL,26059506.934906065,24828728.933958396,8,0
JP,33,ALL,3060082.643000042,1599407.467380675,3,0
KE,33,ALL,507679.116713549,253839.5583567745,1,0
KR,33,ALL,146853.9764436889,128615.13410249846,2,0
KW,33,ALL,129332.571187894,129332.571187894,1,0
KY,33,ALL,3716311.9180493057,3614964.124009083,2,0
LB,33,ALL,36233826.267543145,32540321.551768232,9,0
LT,33,ALL,3950744.8,3950744.8,2,0
LU,33,ALL,2723.0,2723.0,1,0
MA,33,ALL,160000.0,160000.0,1,0
MC,33,ALL,70175004.68157943,37352524.26646368,14,0
MT,33,ALL,2000.0,2000.0,1,0
MX,33,ALL,7114586.373140398,7114586.373140398,2,0
MY,33,ALL,3683494.03571052,1841747.01785526,1,0
NG,33,ALL,1504234.419892,752117.209946,1,0
NL,33,ALL,18020966.544,18020966.544,4,0
NZ,33,ALL,1258181.0917733419,1258181.0917733419,4,0
OM,33,ALL,2500.0,2500.0,1,0
PA,33,ALL,1009571.44361377,1009571.44361377,1,0
PH,33,ALL,169226.37223785,84613.186118925,1,0
PL,33,ALL,229138.0,229138.0,1,0
PT,33,ALL,7151550.608372574,7151550.608372574,2,0
PY,33,ALL,6421396.23038855,6421396.23038855,1,0
QA,33,ALL,2237.95565140872,1118.97782570436,1,0
RO,33,ALL,4000.0,4000.0,1,0
SA,33,ALL,12947615.8636562,6483807.9318281,2,0
SC,33,ALL,4054620.632079304,2572200.431715277,3,0
SE,33,ALL,264348333.14132863,216781498.11759406,5,0
