"cntrycode","bscr_entity","region","sum_pml","sum_net","count_policies","is_geocoded"
AE,"33",ALL,210086.61457001444,210086.61457001444,2,0
AR,"33",ALL,1728139.7132929175,1728139.7132929175,2,0
AT,"33",ALL,830464.4826,503830.16330058,2,0
AU,"33",ALL,18756114.4102309,18756114.4102309,4,0
BE,"33",ALL,90808.02555768001,45404.012778840006,1,0
BM,"33",ALL,149007.9938777658,149007.9938777658,1,0
BR,"33",ALL,55980557.770122945,46207734.77338711,2,0
BS,"33",ALL,45691.12050421937,45691.12050421937,1,0
BW,"33",ALL,1105650.0,1105650.0,1,0
CH,"33",ALL,455287752.00667346,254653752.84599307,31,0
CL,"33",ALL,12254179.395542976,12254179.395542976,11,0
CN,"33",ALL,83336767.11848314,60168296.098432936,12,0
CO,"33",ALL,10564464.789901659,10564464.789901659,7,0
CY,"33",ALL,11907629.775,11907629.775,3,0
CZ,"33",ALL,23160777.437390402,23160777.437390402,1,0
DO,"33",ALL,363608.12963492284,363608.12963492284,1,0
EE,"33",ALL,75600.0,75600.0,1,0
ES,"33",ALL,56470650.59189952,32090656.105949756,5,0
FR,"33",ALL,22792119.227714762,15036554.642285924,7,0
GB,"33",ALL,100305.0,100305.0,1,0
GI,"33",ALL,3664028.2500000005,3664028.2500000005,1,0
GR,"33",ALL,101526194.69247442,93536279.86161365,19,0
GT,"33",ALL,2748894.4234269457,2748894.4234269457,4,0
HK,"33",ALL,16827200.250322174,16736239.938533973,11,0
ID,"33",ALL,0.0,0.0,1,0
IE,"33",ALL,16581742.491600003,16367413.116600003,11,0
IL,"33",ALL,9189487.720355295,9117495.493071496,7,0
IN,"33",ALL,21078587.25951058,10613797.626694173,2,0
KR,"33",ALL,49244.87432121422,24622.43716060711,1,0
KW,"33",ALL,174598.97110365692,174598.97110365692,1,0
KY,"33",ALL,273639.04390860215,136819.52195430108,1,0
LB,"33",ALL,40257079.14412824,38912554.21616226,7,0
LT,"33",ALL,5333505.48,5333505.48,2,0
MA,"33",ALL,216000.0,216000.0,1,0
MC,"33",ALL,25477438.61953574,20520481.24937751,10,0
MT,"33",ALL,2700.0,2700.0,1,0
MX,"33",ALL,5570458.340227749,5570458.340227749,1,0
NG,"33",ALL,2030716.4668542002,1015358.2334271001,1,0
NL,"33",ALL,23315804.834400002,23315804.834400002,3,0
NZ,"33",ALL,1698544.4738940117,1698544.4738940117,3,0
OM,"33",ALL,3375.0,3375.0,1,0
PA,"33",ALL,227153.57481309873,227153.57481309873,1,0
PH,"33",ALL,228455.60252109752,114227.80126054876,1,0
PL,"33",ALL,17153.100000000002,17153.100000000002,1,0
PT,"33",ALL,8872462.874094082,8872462.874094082,2,0
PY,"33",ALL,8668884.911024543,8668884.911024543,1,0
RO,"33",ALL,5400.0,5400.0,1,0
SA,"33",ALL,2756717.4032401154,1378358.7016200577,1,0
SC,"33",ALL,5473737.853307061,3472470.5828156243,3,0
SE,"33",ALL,144017548.04316634,86223843.48932883,5,0
SN,"33",ALL,922428.0000000001,461214.00000000006,1,0
TH,"33",ALL,177687.6908497425,88843.84542487125,1,0
TW,"33",ALL,149007.9938777658,149007.9938777658,1,0
US,"33",ALL,2939741491.911799,1771607113.620469,305,0
UY,"33",ALL,35244002.16609751,21844065.720001776,4,0
VN,"33",ALL,15284.7,15284.7,1,0
ZA,"33",ALL,118098327.55945736,115366083.50059547,11,0
AE,"33",ALL,119528184.93298559,72149346.95935091,13,1
AR,"33",ALL,58128570.56250842,58128570.56250842,18,1
AT,"33",ALL,157524233.21209025,80090025.05667882,10,1
