entity,region,scope,fx_assumption,old_normalized_sum_pml,scope_matched_sum_pml,delta_sum_pml,old_normalized_sum_net,scope_matched_sum_net,delta_sum_net,old_normalized_count_policies,scope_matched_count_policies,delta_count_policies,result
33,ALL,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,40228224088.105743435,36712903961.800358245402,-3515320126.305385189598,29103949551.32281215,26957451176.422438143368,-2146498374.900374006632,5341,5121,-220,difference
3624,ALL,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,29789770.68000000135,27559570.68000000303,-2230199.99999999832,29789770.68000000135,27559570.68000000303,-2230199.99999999832,36,27,-9,difference
HIC,ALL,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,164353167868.335299865,164343829767.138399992423,-9338101.196899872577,164353167868.335299865,164343829767.138399992423,-9338101.196899872577,173687,173683,-4,difference
HIG,ALL,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,10862835100.5807262890,9923862868.99894745647,-938972231.58177883253,8422292153.3526072315,7876828614.30062531717,-545463539.05198191433,1970,1938,-32,difference
HSA,ALL,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,104707618172.4481420635,104360516166.76415750525,-347102005.68398455825,102417209335.6043809635,102070107329.920509863244,-347102005.683871100256,90052,90032,-20,difference
33,is_eu,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,21887522473.6334286135,21149327239.950143513012,-738195233.683285100488,16912875212.7887542770,16439316477.127053735008,-473558735.661700541992,2813,2783,-30,difference
3624,is_eu,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,7530300.00,7530300.000000001,1E-9,7530300.00,7530300.000000001,1E-9,5,5,0,match
HIC,is_eu,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,163747905595.5870,163746600466.8874,-1305128.6996,163747905595.5870,163746600466.8874,-1305128.6996,173186,173185,-1,difference
HIG,is_eu,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,4144555324.408875120,3862019225.65166225182,-282536098.75721286818,3113429031.52239645,2962169297.03600685282,-151259734.48638959718,623,619,-4,difference
HSA,is_eu,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,75728683066.78375569945,75636994806.823599208,-91688259.96015649145,74000749331.32464069945,73909061071.364489106,-91688259.96015159345,67632,67624,-8,difference
33,is_jp,EQ only; NA EQ Canada only; NAHU excludes US; remaining geography unchanged,1.35,116973527.684002340220,112842416.11595233,-4131111.568050010220,66348609.928019281665,64189409.84705542,-2159200.080963861665,13,10,-3,difference
