entity,region,max_coverage,workbook_present,max_definition,fx_assumption,old_normalized_sum_pml,eq_sum_pml,wind_sum_pml,eq_delta_sum_pml,max_sum_pml,max_delta_sum_pml,old_normalized_sum_net,eq_sum_net,wind_sum_net,eq_delta_sum_net,max_sum_net,max_delta_sum_net,old_normalized_count_policies,eq_count_policies,wind_count_policies,eq_delta_count_policies,eq_gross_delta_pct,eq_net_delta_pct
(unmapped),is_eu,unavailable_incomplete_peril_coverage,False,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,,,26352909873.2465583,,,,,,26352909873.2465583,,,,,,82116,,,
33,ALL,unavailable_incomplete_peril_coverage,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,40228224088.105743435,36712903961.800358245402,,-3515320126.305385189598,,,29103949551.32281215,26957451176.422438143368,,-2146498374.900374006632,,,5341,5121,,-220,-8.738442240468571739570442984,-7.375282076802572244780719952
33,is_eu,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,21887522473.6334286135,21149327239.950143513012,21149327239.950153033012,-738195233.683285100488,21149327239.950153033012,-738195233.683275580488,16912875212.7887542770,16439316477.127053735008,16439316477.127047300008,-473558735.661700541992,16439316477.127053735008,-473558735.661700541992,2813,2783,2783,-30,-3.372676074108178050773624146,-2.799989532847831578952173780
33,is_jp,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,116973527.684002340220,112842416.11595233,112842416.11595233,-4131111.568050010220,112842416.11595233,-4131111.568050010220,66348609.928019281665,64189409.84705542,64189409.84705542,-2159200.080963861665,64189409.84705542,-2159200.080963861665,13,10,10,-3,-3.531663659157125477344952938,-3.254326026282010905248282281
33,is_na_eq,unavailable_incomplete_peril_coverage,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,309499476.73012303785,313685271.521875188,,4185794.79175215015,,,166199897.812224780,170889636.64420116,,4689738.831976380,,,22,23,,1,1.352440022185263400873008555,2.821745917843415045339854455
33,is_nahu,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,40234471.15475716380,3363098497.502896414,3363098497.502896414,3322864026.34813925020,3363098497.502896414,3322864026.34813925020,40234471.15475716380,2039958841.915044444,2039958841.915044084,1999724370.76028728020,2039958841.915044444,1999724370.76028728020,15,374,374,359,8258.749104883554626887783778,4970.176849270821908965262729
33,is_us_all,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,4191459642.3477140865,3332468717.95187875,3332468717.95187875,-858990924.3958353365,3332468717.95187875,-858990924.3958353365,2483390171.4835297230,2009329062.36402678,2009329062.36402642,-474061109.1195029430,2009329062.36402678,-474061109.1195029430,432,360,360,-72,-20.49383741446926180246120064,-19.08927217974402775014315866
3624,ALL,unavailable_incomplete_peril_coverage,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,29789770.68000000135,27559570.68000000303,,-2230199.99999999832,,,29789770.68000000135,27559570.68000000303,,-2230199.99999999832,,,36,27,,-9,-7.486462463765425061448498331,-7.486462463765425061448498331
3624,is_eu,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,7530300.00,7530300.000000001,7530300.000000001,1E-9,7530300.000000001,1E-9,7530300.00,7530300.000000001,7530300.000000001,1E-9,7530300.000000001,1E-9,5,5,5,0,1.327968341234744963680065867E-14,1.327968341234744963680065867E-14
3624,is_na_eq,unavailable_incomplete_peril_coverage,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,297000.00,614250.00000000006,,317250.00000000006,,,297000.00,614250.00000000006,,317250.00000000006,,,2,2,,0,106.8181818181818383838383838,106.8181818181818383838383838
3624,is_nahu,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,540000.00,3594645.0,3594645.0,3054645.00,3594645.0,3054645.00,540000.00,3594645.0,3594645.0,3054645.00,3594645.0,3054645.00,2,4,4,2,565.675,565.675
3624,is_us_all,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,3790395.00,3324645.0,3324645.0,-465750.00,3324645.0,-465750.00,3790395.00,3324645.0,3324645.0,-465750.00,3324645.0,-465750.00,4,3,3,-1,-12.28763756811625173629661289,-12.28763756811625173629661289
