entity,region,geocoded,workbook_row,max_coverage,old_normalized_sum_pml,eq_sum_pml,wind_sum_pml,eq_delta_sum_pml,max_sum_pml,max_delta_sum_pml,max_winning_peril_sum_pml,old_normalized_sum_net,eq_sum_net,wind_sum_net,eq_delta_sum_net,max_sum_net,max_delta_sum_net,max_winning_peril_sum_net,old_normalized_count_policies,eq_count_policies,wind_count_policies,eq_delta_count_policies
(unmapped),is_eu,0,,missing_eq_comparator,,,23640419921.293182,,,,,,,23640419921.293182,,,,,,,39913,
(unmapped),is_eu,1,,missing_eq_comparator,,,2712489951.9533763,,,,,,,2712489951.9533763,,,,,,,42203,
33,ALL,0,2,wind_not_exported_for_this_region,6272004341.820501135,4295845357.323307356402,,-1976158984.497193778598,,,,3958136079.3249435,2757348022.905047349668,,-1200788056.419896150332,,,,663,525,,-138
33,ALL,1,3,wind_not_exported_for_this_region,33956219746.28524230,32417058604.4770508890,,-1539161141.8081914110,,,,25145813471.99786865,24200103153.5173907937,,-945710318.4804778563,,,,4678,4596,,-82
33,is_eu,0,12,both_perils_reported,798934820.5723522635,214324980.150829186012,214324980.150829186012,-584609840.421523077488,214324980.150829186012,-584609840.421523077488,tie_within_cent,533795412.2862906270,148403672.679484578008,148403672.679484578008,-385391739.606806048992,148403672.679484578008,-385391739.606806048992,tie_within_cent,46,21,21,-25
33,is_eu,1,13,both_perils_reported,21088587653.06107635,20935002259.799314327,20935002259.799323847,-153585393.261762023,20935002259.799323847,-153585393.261752503,tie_within_cent,16379079800.50246365,16290912804.447569157,16290912804.447562722,-88166996.054894493,16290912804.447569157,-88166996.054894493,tie_within_cent,2767,2762,2762,-5
33,is_jp,0,21,no_current_row,4131111.568050054270,,,,,,,2159200.080963904365,,,,,,,3,,,
33,is_jp,1,22,both_perils_reported,112842416.11595228595,112842416.11595233,112842416.11595233,4.405E-8,112842416.11595233,4.405E-8,tie_within_cent,64189409.84705537730,64189409.84705542,64189409.84705542,4.270E-8,64189409.84705542,4.270E-8,tie_within_cent,10,10,10,0
33,is_na_eq,0,26,wind_not_exported_for_this_region,24706813.82600700135,,,,,,,22247616.184646580,,,,,,,4,,,
33,is_na_eq,1,27,wind_not_exported_for_this_region,284792662.9041160365,313685271.521875188,,28892608.6177591515,,,,143952281.62757820,170889636.64420116,,26937355.01662296,,,,18,23,,5
33,is_nahu,0,33,both_perils_reported,9604691.6037395265,2945311950.252026249,2945311950.252026249,2935707258.6482867225,2945311950.252026249,2935707258.6482867225,tie_within_cent,9604691.6037395265,1777177571.960697049,1777177571.960696749,1767572880.3569575225,1777177571.960697049,1767572880.3569575225,tie_within_cent,2,306,306,304
33,is_nahu,1,34,both_perils_reported,30629779.55101763730,417786547.250870165,417786547.250870165,387156767.69985252770,417786547.250870165,387156767.69985252770,tie_within_cent,30629779.55101763730,262781269.954347395,262781269.954347335,232151490.40332975770,262781269.954347395,232151490.40332975770,tie_within_cent,13,68,68,55
33,is_us_all,0,40,both_perils_reported,3193845528.9272175,2939741491.9117985,2939741491.9117985,-254104037.0154190,2939741491.9117985,-254104037.0154190,tie_within_cent,1907949553.2296820,1771607113.6204693,1771607113.620469,-136342439.6092127,1771607113.6204693,-136342439.6092127,tie_within_cent,326,305,305,-21
33,is_us_all,1,41,both_perils_reported,997614113.4204965865,392727226.04008025,392727226.04008025,-604886887.3804163365,392727226.04008025,-604886887.3804163365,tie_within_cent,575440618.2538477230,237721948.74355748,237721948.74355742,-337718669.5102902430,237721948.74355748,-337718669.5102902430,tie_within_cent,106,55,55,-51
3624,ALL,0,4,wind_not_exported_for_this_region,2230200.00,298350.00000000003,,-1931849.99999999997,,,,2230200.00,298350.00000000003,,-1931849.99999999997,,,,9,2,,-7
3624,ALL,1,5,wind_not_exported_for_this_region,27559570.68000000135,27261220.680000003,,-298349.99999999835,,,,27559570.68000000135,27261220.680000003,,-298349.99999999835,,,,27,25,,-2
3624,is_eu,1,14,both_perils_reported,7530300.00,7530300.000000001,7530300.000000001,1E-9,7530300.000000001,1E-9,tie_within_cent,7530300.00,7530300.000000001,7530300.000000001,1E-9,7530300.000000001,1E-9,tie_within_cent,5,5,5,0
3624,is_na_eq,0,28,wind_not_exported_for_this_region,148500.00,,,,,,,148500.00,,,,,,,1,,,
3624,is_na_eq,1,29,wind_not_exported_for_this_region,148500.00,614250.00000000006,,465750.00000000006,,,,148500.00,614250.00000000006,,465750.00000000006,,,,1,2,,1
3624,is_nahu,0,35,no_current_row,270000.00,,,,,,,270000.00,,,,,,,1,,,
3624,is_nahu,1,36,both_perils_reported,270000.00,3594645.0,3594645.0,3324645.00,3594645.0,3324645.00,tie_within_cent,270000.00,3594645.0,3594645.0,3324645.00,3594645.0,3324645.00,tie_within_cent,1,4,4,3
3624,is_us_all,0,42,no_current_row,465750.00,,,,,,,465750.00,,,,,,,1,,,
3624,is_us_all,1,43,both_perils_reported,3324645.00,3324645.0,3324645.0,0.00,3324645.0,0.00,tie_within_cent,3324645.00,3324645.0,3324645.0,0.00,3324645.0,0.00,tie_within_cent,3,3,3,0
HIC,ALL,0,6,wind_not_exported_for_this_region,20835638.639999865,13283935.740000000303,,-7551702.899999864697,,,,20835638.639999865,13283935.740000000303,,-7551702.899999864697,,,,29,26,,-3
HIC,ALL,1,7,wind_not_exported_for_this_region,164332332229.69530,164330545831.39839999212,,-1786398.29690000788,,,,164332332229.69530,164330545831.39839999212,,-1786398.29690000788,,,,173658,173657,,-1
HIC,is_eu,0,15,both_perils_reported,9584927.10,8375254.2,8375254.2,-1209672.90,8375254.2,-1209672.90,tie_within_cent,9584927.10,8375254.2,8375254.2,-1209672.90,8375254.2,-1209672.90,tie_within_cent,15,14,14,-1
HIC,is_eu,1,16,both_perils_reported,163738320668.4870,163738225212.6874,165391394109.65414,-95455.7996,165391394109.65414,1653073441.16714,2,163738320668.4870,163738225212.6874,165391394109.65414,-95455.7996,165391394109.65414,1653073441.16714,2,173171,173171,173171,0
HIC,is_jp,1,23,both_perils_reported,372600.00,372600.0,372600.0,0.00,372600.0,0.00,tie_within_cent,372600.00,372600.0,372600.0,0.00,372600.0,0.00,tie_within_cent,2,2,2,0
HIC,is_na_eq,1,30,wind_not_exported_for_this_region,286200.00,1064880.0,,778680.00,,,,286200.00,1064880.0,,778680.00,,,,1,5,,4
HIC,is_nahu,0,,both_perils_reported,,136350.0,136350.0,,136350.0,,tie_within_cent,,136350.0,136350.0,,136350.0,,tie_within_cent,,1,1,
HIC,is_nahu,1,,both_perils_reported,,30570795.900000002,30570795.900000002,,30570795.900000002,,tie_within_cent,,30570795.900000002,30570795.900000002,,30570795.900000002,,tie_within_cent,,31,31,
HIC,is_us_all,0,44,both_perils_reported,136350.00,136350.0,136350.0,0.00,136350.0,0.00,tie_within_cent,136350.00,136350.0,136350.0,0.00,136350.0,0.00,tie_within_cent,1,1,1,0
HIC,is_us_all,1,45,both_perils_reported,30707145.90,30570795.900000002,30570795.900000002,-136349.999999998,30570795.900000002,-136349.999999998,tie_within_cent,30707145.90,30570795.900000002,30570795.900000002,-136349.999999998,30570795.900000002,-136349.999999998,tie_within_cent,32,31,31,-1
HIG,ALL,0,8,wind_not_exported_for_this_region,943686861.3994535190,159149321.12381021732,,-784537540.27564330168,,,,549398903.8843696365,92249122.49038595402,,-457149781.39398368248,,,,55,29,,-26
