entity,region,geocoded,csv_peril_id,presence,workbook_row,fx_assumption,workbook_sum_pml,workbook_normalized_sum_pml,csv_sum_pml,delta_sum_pml,workbook_sum_net,workbook_normalized_sum_net,csv_sum_net,delta_sum_net,workbook_count_policies,workbook_normalized_count_policies,csv_count_policies,delta_count_policies,result
(unmapped),is_eu,0,2,csv_only,,workbook source units x1.35 -> CSV USD,,,23640419921.293182,23640419921.293182,,,23640419921.293182,23640419921.293182,,,39913,39913,csv_only
(unmapped),is_eu,1,2,csv_only,,workbook source units x1.35 -> CSV USD,,,2712489951.9533763,2712489951.9533763,,,2712489951.9533763,2712489951.9533763,,,42203,42203,csv_only
33,ALL,0,1,both,2,workbook source units x1.35 -> CSV USD,4645929142.0892601,6272004341.820501135,4295845357.323307356402,-1976158984.497193778598,2931952651.35181,3958136079.3249435,2757348022.905047349668,-1200788056.419896150332,663,663,525,-138,difference
33,ALL,1,1,both,3,workbook source units x1.35 -> CSV USD,25152755367.618698,33956219746.28524230,32417058604.4770508890,-1539161141.8081914110,18626528497.776199,25145813471.99786865,24200103153.5173907937,-945710318.4804778563,4678,4678,4596,-82,difference
33,is_eu,0,2,both,12,workbook source units x1.35 -> CSV USD,591803570.79433501,798934820.5723522635,214324980.150829186012,-584609840.421523077488,395404009.10095602,533795412.2862906270,148403672.679484578008,-385391739.606806048992,46,46,21,-25,difference
33,is_eu,1,2,both,13,workbook source units x1.35 -> CSV USD,15621176039.304501,21088587653.06107635,20935002259.799323847,-153585393.261752503,12132651704.075899,16379079800.50246365,16290912804.447562722,-88166996.054900928,2767,2767,2762,-5,difference
33,is_jp,0,2,workbook_only,21,workbook source units x1.35 -> CSV USD,3060082.6430000402,4131111.568050054270,,-4131111.568050054270,1599407.4673806699,2159200.080963904365,,-2159200.080963904365,3,3,,-3,workbook_only
33,is_jp,1,2,both,22,workbook source units x1.35 -> CSV USD,83586974.900705397,112842416.11595228595,112842416.11595233,4.405E-8,47547710.997818798,64189409.84705537730,64189409.84705542,4.270E-8,10,10,10,0,match_within_0.01
33,is_jp_eq,1,1,csv_only,,workbook source units x1.35 -> CSV USD,,,112842416.11595233,112842416.11595233,,,64189409.847055435,64189409.847055435,,,10,10,csv_only
33,is_na_eq,0,1,workbook_only,26,workbook source units x1.35 -> CSV USD,18301343.574820001,24706813.82600700135,,-24706813.82600700135,16479715.6923308,22247616.184646580,,-22247616.184646580,4,4,,-4,workbook_only
33,is_na_eq,1,1,both,27,workbook source units x1.35 -> CSV USD,210957528.07712299,284792662.9041160365,313685271.521875188,28892608.6177591515,106631319.724132,143952281.62757820,170889636.64420116,26937355.01662296,18,18,23,5,difference
33,is_nahu,0,2,both,33,workbook source units x1.35 -> CSV USD,7114586.37314039,9604691.6037395265,2945311950.252026249,2935707258.6482867225,7114586.37314039,9604691.6037395265,1777177571.960696749,1767572880.3569572225,2,2,306,304,difference
33,is_nahu,1,2,both,34,workbook source units x1.35 -> CSV USD,22688725.593346398,30629779.55101763730,417786547.250870165,387156767.69985252770,22688725.593346398,30629779.55101763730,262781269.954347335,232151490.40332969770,13,13,68,55,difference
