country,entity,region,geocoded,presence,legacy_sum_pml,legacy_normalized_sum_pml,csv_sum_pml,delta_sum_pml,legacy_sum_net,legacy_normalized_sum_net,csv_sum_net,delta_sum_net,legacy_count_policies,legacy_normalized_count_policies,csv_count_policies,delta_count_policies
AD,HSA,ALL,1,both,9412556.0,12706950.600,12706950.600000001,1E-9,9412556.0,12706950.600,12706950.600000001,1E-9,5,5,5,0
AE,33,ALL,0,both,13444442.071932495,18149996.79710886825,210086.61457001444,-17939910.18253885381,10874902.2548474,14681118.044043990,210086.61457001444,-14471031.42947397556,5,5,2,-3
AE,33,ALL,1,both,88675015.9611523,119711271.547555605,119528184.93298559,-183086.614570015,53579580.425126605,72332433.57392091675,72149346.95935091,-183086.61457000675,13,13,13,0
AE,3624,ALL,0,both,36000.0,48600.000,48600.0,0.000,36000.0,48600.000,48600.0,0.000,1,1,1,0
AE,3624,ALL,1,old_only,36000.0,48600.000,0,-48600.000,36000.0,48600.000,0,-48600.000,1,1,0,-1
AE,HIC,ALL,0,both,55056.0,74325.600,74325.6,0.000,55056.0,74325.600,74325.6,0.000,1,1,1,0
AE,HIG,ALL,0,both,719040.530242633,970704.71582755455,970704.7158275546,5E-11,719040.530242633,970704.71582755455,970704.7158275546,5E-11,1,1,1,0
AE,HIG,ALL,1,both,787078520.0849725,1062556002.114712875,1062556002.114713,1.25E-7,787078520.0849725,1062556002.114712875,1062556002.114713,1.25E-7,279,279,279,0
AE,HSA,ALL,1,both,9164806.4,12372488.640,12372488.64,0.000,7538297.2,10176701.220,10176701.22,0.000,9,9,9,0
AR,33,ALL,0,both,1280103.491328087,1728139.71329291745,1728139.7132929175,5E-11,1280103.491328087,1728139.71329291745,1728139.7132929175,5E-11,2,2,2,0
AR,33,ALL,1,both,43058200.41667289,58128570.5625084015,58128570.56250842,1.85E-8,43058200.41667289,58128570.5625084015,58128570.56250842,1.85E-8,18,18,18,0
AR,HIG,ALL,1,both,220017634.1988447,297023806.168440345,297023806.16844034,-5E-9,140477801.93395653,189645032.6108413155,189645032.61084136,4.45E-8,43,43,43,0
AT,33,ALL,0,both,721312.7143443596,973772.164364885460,830464.4826,-143307.681764885460,440490.4210029798,594662.068354022730,503830.16330058,-90831.905053442730,4,4,2,-2
AT,33,ALL,1,both,117299776.07014093,158354697.6946902555,157524233.21209025,-830464.4826000055,59699152.01479954,80593855.2199793790,80090025.05667882,-503830.1633005590,12,12,10,-2
AT,HIG,ALL,1,both,10975035.949585611,14816298.53194057485,14816298.531940576,1.15E-9,10975035.949585611,14816298.53194057485,14816298.531940576,1.15E-9,5,5,5,0
AT,HSA,ALL,0,old_only,965000.0,1302750.000,0,-1302750.000,965000.0,1302750.000,0,-1302750.000,1,1,0,-1
AT,HSA,ALL,1,both,1593469941.5763476,2151184421.128069260,2151184421.1280694,1.40E-7,1569310027.5763476,2118568537.228069260,2118568537.2280693,4.0E-8,2497,2497,2497,0
AU,33,ALL,0,both,25890584.562796935,34952289.15977586225,18756114.4102309,-16196174.74954496225,20120637.850301262,27162861.09790670370,18756114.4102309,-8406746.68767580370,9,9,4,-5
AU,33,ALL,1,both,334471885.17615,451537044.9878025,433656591.6945224,-17880453.2932801,170352245.8216404,229975531.859214540,212095078.56593442,-17880453.293280120,28,28,26,-2
