entity,region,geocoded,workbook_row,legacy_adjustment,workbook_sum_pml,legacy_reconstructed_sum_pml,delta_sum_pml,workbook_sum_net,legacy_reconstructed_sum_net,delta_sum_net,workbook_count_policies,legacy_reconstructed_count_policies,delta_count_policies
33,ALL,0,2,Exclude US from is_nahu only; aggregate countries; no FX,4645929142.0892601,4645929142.08926265482,0.00000255482,2931952651.35181,2931952651.35181812402,0.00000812402,663,663,0
33,ALL,1,3,Exclude US from is_nahu only; aggregate countries; no FX,25152755367.618698,25152755367.6186770585,-0.0000209415,18626528497.776199,18626528497.77629887641,0.00009987641,4678,4678,0
3624,ALL,0,4,Exclude US from is_nahu only; aggregate countries; no FX,1652000,1652000.0,0.0,1652000,1652000.0,0.0,9,9,0
3624,ALL,1,5,Exclude US from is_nahu only; aggregate countries; no FX,20414496.800000001,20414496.8,-1E-9,20414496.800000001,20414496.8,-1E-9,27,27,0
HIC,ALL,0,6,Exclude US from is_nahu only; aggregate countries; no FX,15433806.3999999,15433806.4,1E-7,15433806.3999999,15433806.4,1E-7,29,29,0
HIC,ALL,1,7,Exclude US from is_nahu only; aggregate countries; no FX,121727653503.478,121727653503.48,0.002,121727653503.478,121727653503.48,0.002,173658,173658,0
HIG,ALL,0,8,Exclude US from is_nahu only; aggregate countries; no FX,699027304.74033594,699027304.7403370414,0.0000011014,406962151.02545899,406962151.0254598254,8.354E-7,55,55,0
HIG,ALL,1,9,Exclude US from is_nahu only; aggregate countries; no FX,7347517214.2083502,7347517214.20836786559,0.00001766559,5831772777.3838797,5831772777.38388793359,0.00000823359,1915,1915,0
HSA,ALL,0,10,Exclude US from is_nahu only; aggregate countries; no FX,349291128.70019001,349291128.7001904,3.9E-7,349291128.70019001,349291128.7001904,3.9E-7,201,201,0
HSA,ALL,1,11,Exclude US from is_nahu only; aggregate countries; no FX,77211907517.557693,77211907517.5549380400,-0.0027549600,75515308379.154907,75515308379.1522332902,-0.0026737098,89851,89851,0
33,is_eu,0,12,Exclude US from is_nahu only; aggregate countries; no FX,591803570.79433501,591803570.7943352486,2.386E-7,395404009.10095602,395404009.1009563818,3.618E-7,46,46,0
33,is_eu,1,13,Exclude US from is_nahu only; aggregate countries; no FX,15621176039.304501,15621176039.304572845,0.000071845,12132651704.075899,12132651704.075910565,0.000011565,2767,2767,0
3624,is_eu,1,14,Exclude US from is_nahu only; aggregate countries; no FX,5578000,5578000.0,0.0,5578000,5578000.0,0.0,5,5,0
HIC,is_eu,0,15,Exclude US from is_nahu only; aggregate countries; no FX,7099946,7099946.0,0.0,7099946,7099946.0,0.0,15,15,0
HIC,is_eu,1,16,Exclude US from is_nahu only; aggregate countries; no FX,121287644939.62,121287644939.62,0.00,121287644939.62,121287644939.62,0.00,173171,173171,0
HIG,is_eu,0,17,Exclude US from is_nahu only; aggregate countries; no FX,210175711.440961,210175711.440961035,3.5E-8,112614669.916677,112614669.916677815,8.15E-7,11,11,0
HIG,is_eu,1,18,Exclude US from is_nahu only; aggregate countries; no FX,2859865269.6026502,2859865269.6026511178,9.178E-7,2193629057.13695,2193629057.1369588528,0.0000088528,612,612,0
HSA,is_eu,0,19,Exclude US from is_nahu only; aggregate countries; no FX,75479150.000190407,75479150.0001904,-7E-9,75479150.000190407,75479150.0001904,-7E-9,112,112,0
HSA,is_eu,1,20,Exclude US from is_nahu only; aggregate countries; no FX,56019841640.209999,56019841640.2100778,0.0000788,54739890725.055099,54739890725.0551768,0.0000778,67520,67520,0
