entity,region,explanation,old_normalized_sum_pml,csv_sum_pml,csv_us_component_sum_pml,residual_excluding_us_sum_pml,old_normalized_sum_net,csv_sum_net,csv_us_component_sum_net,residual_excluding_us_sum_net,old_normalized_count_policies,csv_count_policies,csv_us_component_count_policies,residual_excluding_us_count_policies
33,is_nahu,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,40234471.15475716380,3363098497.502896414,3332468717.95187875,-9604691.60373949980,40234471.15475716380,2039958841.915044084,2009329062.36402642,-9604691.60373949980,15,374,360,-1
3624,is_nahu,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,540000.00,3594645.0,3324645.0,-270000.00,540000.00,3594645.0,3324645.0,-270000.00,2,4,3,-1
HIC,is_nahu,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,0,30707145.900000002,30707145.900000002,0E-9,0,30707145.900000002,30707145.900000002,0E-9,0,32,32,0
HIG,is_nahu,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,426061013.858955090,1627784513.7711108941,1223929495.242635877,-22205995.3304800729,370435618.9543276035,1248201991.8819647561,899972368.258117547,-22205995.3304803944,94,322,228,0
HSA,is_nahu,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,7357967.640000000540,144753352.04153575103,137395384.40153575,4.90E-10,7357967.640000000540,143663961.44153576103,136305993.80153576,4.90E-10,10,86,76,0
33,is_na_eq,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,309499476.73012303785,313685271.521875188,28892608.617759038,-24706813.82600688785,166199897.812224780,170889636.64420116,26937355.01662183,-22247616.184645450,22,23,5,-4
3624,is_na_eq,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,297000.00,614250.00000000006,465750.00000000006,-148500.00000000000,297000.00,614250.00000000006,465750.00000000006,-148500.00000000000,2,2,1,-1
HIC,is_na_eq,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,286200.00,1064880.0,778680.0,0.00,286200.00,1064880.0,778680.0,0.00,1,5,4,0
HIG,is_na_eq,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,10203767.316443907405,110841648.167366883,100637880.85092297,5.595E-9,10203767.316443907405,100551466.846949913,90347699.530506,5.595E-9,4,27,23,0
HSA,is_na_eq,Current US component isolated; residual is not fully attributed. NAHU workbook matches legacy CSV excluding US.,756000.00,7535709.720000001,6779709.720000001,0E-9,756000.00,7535709.720000001,6779709.720000001,0E-9,2,9,7,0
