file,entity,version,modified,cells,count,gross_m,net_m,old_count,old_source_gross_m,old_source_net_m,old_usd_gross_m,old_usd_net_m,current_count,current_usd_gross_m,current_usd_net_m,count_minus_old,gross_minus_old_usd_m,unit_evidence
reporting/bscr/reconcile/2026 BSCR - UKEU - 33.xlsx,33,top_level_April,2026-04-01T15:22:33Z,Schedule X(f)!K12:L12:M12,5341,40228,29103,5341,29798.6845097079581,21558.481149128009,40228.224088105743435,29103.94955132281215,5121,36712.903961800358245402,26957.451176422438143368,0,-0.224088105743435,USD millions; rounded component totals
reporting/bscr/reconcile/2026 BSCR - UKEU - 3624.xlsx,3624,top_level_April,2026-04-01T15:21:07Z,Schedule X(f)!K12:L12:M12,36,30,30,36,22.066496800000001,22.066496800000001,29.78977068000000135,29.78977068000000135,27,27.55957068000000303,27.55957068000000303,0,0.21022931999999865,USD millions; rounded component totals
reporting/bscr/reconcile/2026 BSCR - UKEU - HIC.xlsx,HIC,top_level_April,2026-04-01T15:15:50Z,Schedule X(f)!K12:L12:M12,173687,164354,164354,173687,121743.0873098779999,121743.0873098779999,164353.167868335299865,164353.167868335299865,173683,164343.829767138399992423,164343.829767138399992423,0,0.832131664700135,USD millions; rounded component totals
reporting/bscr/reconcile/2026 BSCR - UKEU - HIG.xlsx,HIG,top_level_April,2026-04-01T15:15:07Z,Schedule X(f)!K12:L12:M12,1970,10862,8422,1970,8046.54451894868614,6238.73492840933869,10862.835100580726289,8422.2921533526072315,1938,9923.86286899894745647,7876.82861430062531717,0,-0.835100580726289,USD millions; rounded component totals
reporting/bscr/reconcile/2026 BSCR - UKEU - HSA.xlsx,HSA,top_level_April,2026-04-01T15:14:06Z,Schedule X(f)!K12:L12:M12,90052,104708,102417,90052,77561.19864625788301,75864.59950785509701,104707.6181724481420635,102417.2093356043809635,90032,104360.51616676415750525,102070.107329920509863244,0,0.3818275518579365,USD millions; rounded component totals
reporting/bscr/reconcile/filled in templates/2026 BSCR - UKEU - 33.xlsx,33,filled_original,2026-02-27T15:57:37Z,Schedule X(f)!K12:L12:M12,5341,29798684.509707958,21558481.149128009,5341,29798.6845097079581,21558.481149128009,40228.224088105743435,29103.94955132281215,5121,36712.903961800358245402,26957.451176422438143368,0,29758456.285619852256565,Source amounts /1000 despite US$M labels; verified against workings
reporting/bscr/reconcile/filled in templates/2026 BSCR - UKEU - 3624 v2.xlsx,3624,filled_v2,2026-02-27T15:26:55Z,Schedule X(f)!K12:L12:M12,36,22066.496800000001,22066.496800000001,36,22.066496800000001,22.066496800000001,29.78977068000000135,29.78977068000000135,27,27.55957068000000303,27.55957068000000303,0,22036.70702932000099865,Source amounts /1000 despite US$M labels; verified against workings
reporting/bscr/reconcile/filled in templates/2026 BSCR - UKEU - 3624.xlsx,3624,filled_original,2026-02-19T16:00:08Z,Schedule X(f)!K12:L12:M12,173678,121736170.19787899,121736170.19787899,36,22.066496800000001,22.066496800000001,29.78977068000000135,29.78977068000000135,27,27.55957068000000303,27.55957068000000303,173642,121736140.40810830999999865,Older cached inputs do not reconcile to the corrected entity workings; not a verified USD-million basis
reporting/bscr/reconcile/filled in templates/2026 BSCR - UKEU - HIC v2.xlsx,HIC,filled_v2,2026-02-27T15:14:33Z,Schedule X(f)!K12:L12:M12,173687,121743087.30987799,121743087.30987799,173687,121743.0873098779999,121743.0873098779999,164353.167868335299865,164353.167868335299865,173683,164343.829767138399992423,164343.829767138399992423,0,121578734.142009654700135,Source amounts /1000 despite US$M labels; verified against workings
reporting/bscr/reconcile/filled in templates/2026 BSCR - UKEU - HIC.xlsx,HIC,filled_original,2026-02-19T16:02:53Z,Schedule X(f)!K12:L12:M12,51,20414.496800000001,20414.496800000001,173687,121743.0873098779999,121743.0873098779999,164353.167868335299865,164353.167868335299865,173683,164343.829767138399992423,164343.829767138399992423,-173636,-143938.671068335298865,Older cached inputs do not reconcile to the corrected entity workings; not a verified USD-million basis
reporting/bscr/reconcile/filled in templates/2026 BSCR - UKEU - HIG v2.xlsx,HIG,filled_v2,2026-02-27T15:18:12Z,Schedule X(f)!K12:L12:M12,1970,8046544.5189486863,6238734.9284093389,1970,8046.54451894868614,6238.73492840933869,10862.835100580726289,8422.2921533526072315,1938,9923.86286899894745647,7876.82861430062531717,0,8035681.683848105573711,Source amounts /1000 despite US$M labels; verified against workings
