file,sha256,created,modified,sheets,cached_error_count,external_link_count,provenance
reporting/bscr/reconcile/2026 BSCR - UKEU - 33.xlsx,45a8fbf43a18162bae9cd028de55c0ebd193a65a932290104ebc2a9ef7344a7a,2024-12-11T16:13:38Z,2026-04-01T15:22:33Z,"Schedule X(a), Schedule X(b), Schedule X(c), Schedule X(f)",40,3,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/2026 BSCR - UKEU - 3624.xlsx,b05ee043e2889dfff1c74c78b4e10dec9b3f3e5f0541ecb07bb8ff578d8d44bc,2024-12-11T16:13:38Z,2026-04-01T15:21:07Z,"Schedule X(a), Schedule X(b), Schedule X(c), Schedule X(f)",40,3,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/2026 BSCR - UKEU - HIC.xlsx,6d62dd0bfa880d8a9147cfd8f03c41919288710a86ff740bcb6f096826f4a95e,2024-12-11T16:13:38Z,2026-04-01T15:15:50Z,"Schedule X(a), Schedule X(b), Schedule X(c), Schedule X(f)",40,3,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/2026 BSCR - UKEU - HIG.xlsx,4e696a3e7927457757727c5a4993b9e956c36310bf75cf57524075a7364a2c88,2024-12-11T16:13:38Z,2026-04-01T15:15:07Z,"Schedule X(a), Schedule X(b), Schedule X(c), Schedule X(f)",40,3,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/2026 BSCR - UKEU - HSA.xlsx,48a8328545861d293563b617f1f23e0e3e674728aaf509bfd64c500b0dcdb074,2024-12-11T16:13:38Z,2026-04-01T15:14:06Z,"Schedule X(a), Schedule X(b), Schedule X(c), Schedule X(f)",40,3,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/Workings_with_geocoding.xlsx,5e89bc2ddd8f0aa46482c6c8c89a818d75a8e2460b98492bd19bbbaa55694437,2026-02-26T12:00:55Z,2026-02-26T17:59:15Z,"piv, output",0,0,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/Workings_with_geocodingFW - Including blanks USD.xlsx,35f9ac5fa369ded9cba321dfb009996a4348da947bf1fa2df876434ca257512a,2026-02-26T12:00:55Z,2026-03-25T17:07:52Z,"piv, output, Sheet1",0,0,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/Workings_with_geocodingFW.xlsx,67522b957a932404aa84520ce1a16b2f556f387a1e55025278d629fd57d5e075,2026-02-26T12:00:55Z,2026-02-27T17:01:30Z,"piv, output",0,0,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/filled in templates/2026 BSCR - UKEU - 33.xlsx,6bcdf05be45072824578d208d28dc3ba704bf447835d348c73e7eb0c8f55659c,2024-12-11T16:13:38Z,2026-02-27T15:57:37Z,"Schedule X(a), Schedule X(b), Schedule X(c), Schedule X(f)",40,3,Candidate only; modified date not evidence of submission
reporting/bscr/reconcile/filled in templates/2026 BSCR - UKEU - 3624 v2.xlsx,fde14545c6b892a0bb7f123ab966443a84fc26d59ebdca07deae8a683613c6b7,2024-12-11T16:13:38Z,2026-02-27T15:26:55Z,"Schedule X(a), Schedule X(b), Schedule X(c), Schedule X(f)",40,3,Candidate only; modified date not evidence of submission
