entity,region,geocoded,feb_row,march_row,feb_sum_pml,march_sum_pml,change_sum_pml,legacy_US_addition_sum_pml,unexplained_sum_pml,feb_sum_net,march_sum_net,change_sum_net,legacy_US_addition_sum_net,unexplained_sum_net,feb_count_policies,march_count_policies,change_count_policies,legacy_US_addition_count_policies,unexplained_count_policies
33,ALL,0,2,2,4645929142.0892601,4645929142.0892601,0E-7,0,0E-7,2931952651.35181,2931952651.35181,0.00000,0,0.00000,663,663,0,0,0
33,ALL,1,3,3,25152755367.618698,25152755367.618698,0.000000,0,0.000000,18626528497.776199,18626528497.776199,0.000000,0,0.000000,4678,4678,0,0,0
33,is_eu,0,12,12,591803570.79433501,591803570.79433501,0E-8,0,0E-8,395404009.10095602,395404009.10095602,0E-8,0,0E-8,46,46,0,0,0
33,is_eu,1,13,13,15621176039.304501,15621176039.304501,0.000000,0,0.000000,12132651704.075899,12132651704.075899,0.000000,0,0.000000,2767,2767,0,0,0
33,is_jp,0,21,21,3060082.6430000402,3060082.6430000402,0E-10,0,0E-10,1599407.4673806699,1599407.4673806699,0E-10,0,0E-10,3,3,0,0,0
33,is_jp,1,22,22,83586974.900705397,83586974.900705397,0E-9,0,0E-9,47547710.997818798,47547710.997818798,0E-9,0,0E-9,10,10,0,0,0
33,is_na_eq,0,26,26,18301343.574820001,18301343.574820001,0E-9,0,0E-9,16479715.6923308,16479715.6923308,0E-7,0,0E-7,4,4,0,0,0
33,is_na_eq,1,27,27,210957528.07712299,210957528.07712299,0E-8,0,0E-8,106631319.724132,106631319.724132,0.000000,0,0.000000,18,18,0,0,0
33,is_nahu,0,33,33,7114586.37314039,2372926089.2821898,2365811502.90904941,2365811502.9090543,-0.00000489,7114586.37314039,1420410551.7284601,1413295965.35531971,1413295965.355323,-0.00000329,2,328,326,326,0
33,is_nahu,1,34,34,22688725.593346398,761662142.94186294,738973417.348516542,738973417.3485165,4.2E-8,22688725.593346398,448941035.41101199,426252309.817665592,426252309.81766593,-3.38E-7,13,119,106,106,0
33,is_us_all,0,40,42,2365811502.90905,2365811502.90905,0.00000,0,0.00000,1413295965.35532,1413295965.35532,0.00000,0,0.00000,326,326,0,0,0
33,is_us_all,1,41,43,738973417.34851599,738973417.34851599,0E-8,0,0E-8,426252309.81766498,426252309.81766498,0E-8,0,0E-8,106,106,0,0,0
3624,ALL,0,4,4,1652000,1652000,0,0,0,1652000,1652000,0,0,0,9,9,0,0,0
3624,ALL,1,5,5,20414496.800000001,20414496.800000001,0E-9,0,0E-9,20414496.800000001,20414496.800000001,0E-9,0,0E-9,27,27,0,0,0
3624,is_eu,1,14,14,5578000,5578000,0,0,0,5578000,5578000,0,0,0,5,5,0,0,0
3624,is_na_eq,0,28,28,110000,110000,0,0,0,110000,110000,0,0,0,1,1,0,0,0
3624,is_na_eq,1,29,29,110000,110000,0,0,0,110000,110000,0,0,0,1,1,0,0,0
3624,is_nahu,0,35,35,200000,545000,345000,345000.0,0.0,200000,545000,345000,345000.0,0.0,1,2,1,1,0
3624,is_nahu,1,36,36,200000,2662700,2462700,2462700.0,0.0,200000,2662700,2462700,2462700.0,0.0,1,4,3,3,0
3624,is_us_all,0,42,44,345000,345000,0,0,0,345000,345000,0,0,0,1,1,0,0,0
3624,is_us_all,1,43,45,2462700,2462700,0,0,0,2462700,2462700,0,0,0,3,3,0,0,0
HIC,ALL,0,6,6,15433806.3999999,15433806.3999999,0E-7,0,0E-7,15433806.3999999,15433806.3999999,0E-7,0,0E-7,29,29,0,0,0
