"accgrpid","userid1","branchname","uwritrname"
1,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
2,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
3,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
4,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
5,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
6,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
7,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
8,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
9,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
10,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
11,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
12,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
13,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
14,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
15,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
16,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
17,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
18,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
19,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
20,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
21,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
22,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
23,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
24,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
25,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
26,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
27,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
28,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
29,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
30,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
31,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
32,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
33,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
