"table_name","column_name","data_type","max_length","precision","scale","is_nullable","collation_name"
accgrp,ACCGRPID,int,4,10,0,0,
accgrp,ACCGRPNUM,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,ACCGRPNAME,varchar,40,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,ACCNTSTAT,varchar,40,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,CEDANTID,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,PRDCERID,varchar,10,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,UWRITRNAME,varchar,30,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,BRANCHNAME,varchar,30,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,USERID1,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,USERID2,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,USERID3,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,USERID4,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,CREATEDATE,datetime,8,23,3,0,
accgrp,LASTEDIT,datetime,8,23,3,0,
accgrp,ISVALID,bit,1,1,0,0,
accgrp,USERTXT1,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,USERTXT2,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
accgrp,ACCNTSTATE,int,4,10,0,0,
accgrp,ACCLINKID,uniqueidentifier,16,0,0,0,
accgrp,ACCGUID,uniqueidentifier,16,0,0,0,
loccvg,LOCCVGID,int,4,10,0,0,
loccvg,LOCID,int,4,10,0,0,
loccvg,PERIL,smallint,2,5,0,0,
loccvg,LIMITAMT,float,8,53,0,0,
loccvg,LIMITCUR,char,3,0,0,0,SQL_Latin1_General_CP1_CI_AS
loccvg,DEDUCTAMT,float,8,53,0,0,
loccvg,DEDUCTCUR,char,3,0,0,0,SQL_Latin1_General_CP1_CI_AS
loccvg,VALUEAMT,float,8,53,0,0,
loccvg,VALUECUR,char,3,0,0,0,SQL_Latin1_General_CP1_CI_AS
loccvg,LOSSTYPE,smallint,2,5,0,0,
loccvg,LABELID,smallint,2,5,0,0,
loccvg,COVGMOD,smallint,2,5,0,0,
loccvg,ACCUMID,smallint,2,5,0,0,
loccvg,EQSLGRADE,smallint,2,5,0,0,
loccvg,PCTSPRNKLR,float,8,53,0,0,
loccvg,WAITINGPERIOD,float,8,53,0,0,
loccvg,BIPOI,float,8,53,0,0,
loccvg,ISVALID,bit,1,1,0,0,
loccvg,PCNTLOSSDEDAMT,float,8,53,0,0,
loccvg,ISFRANCHDED,bit,1,1,0,0,
loccvg,NONRANKINGDEDUCTAMT,float,8,53,0,0,
loccvg,NONRANKINGDEDUCTCUR,varchar,3,0,0,0,SQL_Latin1_General_CP1_CI_AS
loccvg,LIMITEXTENSION,float,8,53,0,0,
policy,POLICYID,int,4,10,0,0,
policy,ACCGRPID,int,4,10,0,0,
policy,LOBDETID,int,4,10,0,0,
policy,POLICYNUM,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
policy,POLICYTYPE,smallint,2,5,0,0,
policy,POLICYSTAT,varchar,20,0,0,0,SQL_Latin1_General_CP1_CI_AS
policy,POLICYSTRUCTURE,smallint,2,5,0,0,
policy,INCEPTDATE,datetime,8,23,3,0,
policy,EXPIREDATE,datetime,8,23,3,0,
policy,UNDCOVAMT,float,8,53,0,0,
policy,UNDCOVCUR,varchar,3,0,0,0,SQL_Latin1_General_CP1_CI_AS
policy,PARTOF,float,8,53,0,0,
policy,PARTOFCUR,char,3,0,0,0,SQL_Latin1_General_CP1_CI_AS
policy,MINDEDAMT,float,8,53,0,0,
